 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8911,         4.4067,        -1.3067,         3.0999,       185.6683,       481.0617,        76.4046,     80760.3516,       194.0987,       359.5519,    154150.3125,       106.0000,       258.9351,         1.1484,         1.3046,         1.7953
   8912,         5.0615,        -1.8305,         3.2310,       185.8106,       481.1543,        76.4634,     80759.6875,       194.3344,       359.3513,    154150.0469,       106.0000,       258.9340,         1.2628,         1.3135,         1.9175
   8913,         5.0891,        -1.5422,         3.5469,       186.1053,       481.2632,        76.5529,     80758.9141,       194.6927,       359.0529,    154149.6875,       106.0000,       258.9269,         1.5685,         1.4310,         2.1159
   8914,         5.2511,        -1.1223,         4.1288,       186.7371,       481.3988,        76.7099,     80758.0859,       195.3207,       358.5877,    154149.3750,       106.0000,       258.9101,         2.2459,         1.6369,         2.4919
   8915,         5.7215,        -1.8699,         3.8516,       187.1039,       481.5222,        76.8145,     80757.2578,       195.7389,       358.1618,    154149.0312,       106.0000,       258.8951,         1.7181,         1.6018,         2.2498
   8916,         5.6390,        -1.7710,         3.8680,       187.4010,       481.6471,        76.9061,     80756.4453,       196.1046,       357.7122,    154148.7188,       106.0000,       258.8781,         1.5803,         1.6338,         2.2342
   8917,         5.3153,        -1.5649,         3.7504,       187.5813,       481.7617,        76.9752,     80755.6641,       196.3806,       357.3074,    154148.4375,       106.0000,       258.8632,         1.3480,         1.5817,         2.1687
   8918,         4.5690,        -0.5496,         4.0193,       187.9628,       481.8781,        77.0852,     80754.8438,       196.8199,       356.8848,    154148.0938,       106.0000,       258.8468,         1.7516,         1.6014,         2.4180
   8919,         5.8474,        -1.5900,         4.2574,       188.3807,       482.0144,        77.1998,     80753.8828,       197.2773,       356.3207,    154147.7188,       106.0000,       258.8234,         1.8271,         1.7933,         2.4641
   8920,         5.7058,        -1.4408,         4.2650,       188.7482,       482.1457,        77.3045,     80752.9531,       197.6951,       355.7609,    154147.3594,       106.0000,       258.7999,         1.7278,         1.7989,         2.4661
   8921,         5.9856,        -1.2289,         4.7567,       189.4140,       482.2974,        77.4692,     80751.9141,       198.3524,       355.0652,    154146.9375,       106.0000,       258.7681,         2.3278,         1.9677,         2.7891
   8922,         4.2666,         0.1557,         4.4222,       189.8472,       482.4263,        77.5874,     80750.9141,       198.8239,       354.4736,    154146.5156,       106.0000,       258.7425,         1.8649,         1.8522,         2.5700
   8923,         5.3496,        -0.9255,         4.4241,       190.2321,       482.5575,        77.6960,     80749.9297,       199.2560,       353.8545,    154146.1250,       106.0000,       258.7154,         1.7705,         1.8944,         2.5298
   8924,         2.4205,         1.9101,         4.3306,       190.6464,       482.6723,        77.8104,     80748.9609,       199.7116,       353.3156,    154145.6875,       106.0000,       258.6930,         1.8312,         1.7634,         2.5672
   8925,         5.5408,        -0.8068,         4.7340,       191.3216,       482.8095,        77.9772,     80747.9141,       200.3766,       352.6061,    154145.2812,       106.0000,       258.6598,         2.3566,         1.9344,         2.7996
   8926,         5.1759,        -0.7954,         4.3805,       191.6111,       482.9399,        78.0671,     80746.8359,       200.7332,       351.8882,    154144.8906,       106.0000,       258.6259,         1.5873,         1.9576,         2.4229
   8927,         5.3458,        -0.7819,         4.5640,       192.0240,       483.0703,        78.1816,     80745.7188,       201.1887,       351.1593,    154144.4688,       106.0000,       258.5911,         1.8357,         1.9746,         2.5894
   8928,         5.0096,        -0.1175,         4.8921,       192.6853,       483.2046,        78.3461,     80744.6250,       201.8433,       350.3857,    154144.0625,       106.0000,       258.5532,         2.3362,         2.0343,         2.8578
   8929,         3.8539,         0.8572,         4.7110,       193.2122,       483.3295,        78.4838,     80743.5312,       202.3907,       349.6424,    154143.6562,       106.0000,       258.5169,         2.0701,         2.0107,         2.7004
   8930,         4.1638,         0.3207,         4.4844,       193.5762,       483.4471,        78.5891,     80742.4531,       202.8082,       348.9344,    154143.2656,       106.0000,       258.4831,         1.7470,         1.9766,         2.5078
   8931,         4.3897,        -0.1087,         4.2810,       193.8208,       483.5523,        78.6706,     80741.3672,       203.1301,       348.3020,    154142.8438,       106.0000,       258.4538,         1.5092,         1.8936,         2.3874
   8932,         4.1217,         0.1997,         4.3215,       194.1210,       483.6542,        78.7633,     80740.2734,       203.4966,       347.6989,    154142.3750,       106.0000,       258.4261,         1.6216,         1.8596,         2.4619
   8933,         5.5238,        -1.1497,         4.3741,       194.4527,       483.7600,        78.8624,     80739.2266,       203.8886,       347.0822,    154141.9531,       106.0000,       258.3972,         1.6868,         1.8757,         2.4984
   8934,         4.4680,         0.1534,         4.6214,       195.0121,       483.8606,        79.0071,     80738.1484,       204.4633,       346.4837,    154141.5000,       106.0000,       258.3693,         2.1449,         1.8600,         2.7614
   8935,         3.3157,         0.9381,         4.2538,       195.2603,       483.9561,        79.0897,     80737.0547,       204.7888,       345.9108,    154141.0312,       106.0000,       258.3427,         1.5238,         1.8343,         2.4196
